SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_a1,L_a2,L_a3,L_a4,L_a5,L_a6,L_a7,L_a8,L_a9,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_theta1,L_theta2,R_a1,R_a2,R_a3,R_a4,R_a5,R_a6,R_a7,R_a8,R_a9,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_theta1,R_theta2
nh134,14.5,20.7,18.9,2.375,1.25,10.2,5,10.1,26.8,40.4,168,55,98,1.75,0.6,0.54,0.62,0.59,0.98,1.72,0.56,0.95,1.8,0.89,1.5,1.55,6,3.52,0.55,1.3,0.471238898038,1.17967087983,1.6,0.55,0.45,0.65,0.56,1.4,1.3,0.5,1.22,1.79,0.8,1.85,1.6,5.95,3,0.7,1.75,0.418879020479,1.03961870757
nh135,15,23.7,20.9,2.95,2.6,11.7,4,11.6,32.9,43.6,183.5,59,118,2.16,0.64,0.7,0.72,0.61,1.7,1.4,0.85,0.6,1.68,1.2,1.6,1.85,6.45,3.38,0.6,0.7,0.349065850399,0.487452635186,2,0.8,0.75,0.81,0.68,2.3,2.3,0.95,1.1,1.65,0.9,1.88,1.9,6.46,3.45,0.58,1.5,0.331612557879,0.594963047984
nh136,14.8,21,18.8,2.625,1.65,11.3,2.8,10.4,30.2,38.3,172,56,100,1.1,0.6,0.66,0.9,0.75,1.8,1.6,0.6,1,1.8,0.9,1.68,1.6,5.35,2.65,0.5,1.2,0.418879020479,0.641364359908,1.4,0.71,0.85,0.8,0.8,1.9,2,0.65,1.1,1.8,0.9,1.8,1.5,5.35,2.5,0.6,1.6,0.366519142919,0.64110876886
nh137,16.3,23.8,20.6,2.2,2.25,12.3,4.4,10.8,31.1,42.5,174,61,109,2,0.6,0.75,0.7,0.74,1.24,1.28,0.61,1.2,2,0.8,1.3,1.7,6.2,2.7,0.5,1.38,0.383972435439,0.532843887619,1.9,0.56,0.71,0.7,0.75,1.45,1.95,0.58,1.05,1.92,0.8,1.79,1.6,6,2.98,0.55,1.15,0.349065850399,0.506419002798
nh138,15.7,23.4,23,2.1,2.85,15.5,5.5,14.2,34.8,42.3,169,61,106,1.9,0.75,0.7,0.85,0.65,1.4,1.5,-0.1,1.3,1.98,1.85,1.98,1.8,6.1,3,0.93,1.7,0.401425727959,0.426627493127,1.8,0.8,0.8,0.85,0.54,2.05,1.54,-0.4,1.52,1.6,1.1,2,1.7,6.25,3.1,0.8,1.54,0.349065850399,0.647591065538
nh139,15.4,22,20.4,2.05,2.15,12.6,5.7,11.8,30.3,46.4,185,59,113,1.42,0.7,0.71,0.72,0.5,1.7,1.35,0.5,1.2,1.8,1.15,1.7,1.85,6.05,2.88,0.55,1.4,0.558505360638,0.585112438184,1.5,0.68,0.95,0.8,0.5,1.88,1.7,0.4,1.29,1.75,1.14,1.9,2.08,6.25,2.95,0.54,1.48,0.506145483078,0.656348367663
nh140,15,22.5,19.7,1.9,1.85,11.1,3,9.8,24.1,37.3,180,57,100,1.5,0.65,0.7,0.65,0.45,1.15,1.6,0.76,0.95,1.75,0.8,1.6,1.45,5.9,3.15,0.6,1.15,0.663225115758,0.517649109377,1.39,0.9,0.69,0.71,0.69,1.75,2.1,0.6,1.21,1.7,0.8,1.7,1.75,5.84,3.09,0.55,1.4,0.541052068118,0.502642205905
nh143,15.6,22.9,18.9,1.2,1.8,10.4,3.8,9.5,25.3,35.9,166,57,99,2,0.62,0.6,0.7,0.48,1.5,2.18,0.7,1.2,1.6,0.8,1.35,1.4,5.9,2.93,0.48,1.64,0.401425727959,0.643501108793,1.86,0.61,0.65,0.55,0.6,1.59,2.01,0.4,1.05,1.49,0.75,1.45,1.5,6.12,2.9,0.48,1.25,0.314159265359,0.850997335228
nh146,16.4,23.4,20.4,3,1.365,12.3,4.1,11.2,34.3,44.8,182,60,107,1.65,0.65,0.69,0.98,0.65,1.4,2.1,0.6,1.5,1.9,0.84,1.6,1.7,6.4,3.5,0.7,1.72,0.471238898038,0.521101965343,1.67,0.72,0.75,0.68,0.6,2.35,2.37,0.4,1.42,2,0.91,1.92,2.05,6.25,2.79,0.7,1.6,0.453785605519,0.600917014687
nh157,14.3,23.3,19.2,2.625,0.86,10.6,4.2,10.8,27.6,38.5,168.5,55,101,1.9,0.55,0.42,0.58,0.42,0.98,1.05,0.61,1.12,1.6,0.55,1.6,1.28,5.6,3,0.5,1.31,0.383972435439,0.6153402624,1.89,0.62,0.5,0.45,0.55,0.99,1.19,0.51,0.8,1.7,0.65,1.6,1.35,5.6,2.58,0.4,1.5,0.314159265359,0.700915500955
